|land|port|location|city|region|runway|approach|usage|opstatus|coordinates|
|AT|SKM|Sankt Michael|Sankt Michael||--3-----|RL|0901||4720N 01500E|
|AT|SCC|Schalchen|Schalchen|4|--3-----|RL|1601||4812N 01313E|
|AT|SCZ|Schwaz|Schwaz|7|--3-----|RL|1607||4721N 01143E|
|AT|SNG|S�ding|Soding||-23--6--|RL|0607||4659N 01517E|
|AT|STE|Steinfeld|Steinfeld||--3-----|RL|0201||4645N 01314E|
|AT|TNZ|Ternitz|Ternitz||0-------|RQ|9307|||
|AT|TBE|Trieben|Trieben||--3-----|RL|0201||4729N 01428E|
|AT|VLM|Velm|Velm|3|--3-----|RL|1207||4828N 01646E|
|AT|WAL|Wals|Wals||--3-----|RL|0201||4747N 01258E|
|AT|WEZ|Weiz|Weiz||--3-----|RL|0201||4713N 01536E|
|AT|WB2|Windhaag Bei Freistadt|Windhaag Bei Freistadt|4|--3-----|RL|1601||4835N 01433E|
|AT|ZMD|Zemendorf-St�ttera|Zemendorf-Stottera|1|--3-----|RL|1601||4745N 01627E|
|AU|APK|Albion Park|Albion Park|NSW|--3-----|RL|0607||3434S 15047E|
|AU|ANN|Annandale|Annandale|NSW|1----6--|RL|1107||3353S 15110E|
|AU|AWD|Ashwood|Ashwood|VIC|-----6--|RQ|0907||3752S 14560E|
|AU|A6L|Balcombe|Balcombe|VIC|--3-----|RL|1601||3815S 14501E|
|AU|BWB|Barrow Island|Barrow Island|WA|1--4----|AC|9511|||
|AU|BEU|Bedourie|Bedourie|QLD|---4----|AI|9912|||
|AU|WRG|Berambing|Berambing|NSW|--3-----|RL|1601||3332S 15026E|
|AU|BBG|Bing Bong|Bing Bong|NT|1-------|RL|0212||1536S 13621E|
|AU|BDY|Bomaderry|Bomaderry|NSW|1----6--|RL|1201||3451S 15037E|
|AU|BYB|Boyup Brook|Boyup Brook|WA|-23-----|RL|0607||3350S 11623E|
|AU|2WS|Brooklyn|Brooklyn|NSW|--3-----|RL|1607||3333S 15114E|
|AU|BLH|Burleigh Heads|Burleigh Heads|QLD|--3-----|RL|0607||2806S 15327E|
|AU|CIA|Camellia|Camellia|NSW|-23-----|RL|0607||3349S 15101E|
|AU|CRK|Carbrook|Carbrook|QLD|--3-----|RL|1401||2741S 15316E|
|AU|CUN|Caufield North|Caufield North|VIC|1-------|RQ|1101||3752S 01451E|
|AU|CHN|Chipping Norton|Chipping Norton|NSW|--3-----|RL|0401||3354S 15057E|
|AU|CTI|Cockatoo Island|Cockatoo Island|WA|1-------|RQ|0901||1606S 12337E|
|AU|CLB|Coolabah|Coolabah|NSW|-23-----|RL|0607||3101S 14642E|
|AU|COW|Cowaramup|Cowaramup||1----6--|RL|1107||3352S 11505E|
|AU|CCS|Cudlee Creek|Cudlee Creek|SA|-----6--|RL|1107||3450S 13849E|
|AU|NLF|Darnley Island|Darnley Island|QLD|---4----|AI|9912|||
|AU|DXK|Dixons Creek|Dixons Creek|VIC|--3-----|RL|1601||3736S 14525E|
|AU|DGO|Dungog|Dungog|NSW|-23-----|RL|0607||3225S 15145E|
|AU|EDR|Edward River|Edward River|QLD|---4----|AI|9912|||
|AU|EVD|Eva Downs|Eva Downs|NT|---4----|AI|9912|||
|AU|FTD|Forrestfield|Forrestfield|WA|-----6--|RQ|1001||3159S 11600E|
|AU|GXQ|Geelong North|Geelong North|VIC|--3-----|RL|1601||3806S 14421E|
|AU|GCY|Glenorchy|Glenorchy|TAS|--3-----|RL|0901||4250S 14717E|
|AU|GTH|Grantham|Grantham|QLD|1-3-----|RL|1401||2735S 15212E|
|AU|GH6|Gungahlin/Canberra|Gungahlin/Canberra|ACT|--3-----|AA|1807||3510S 14913E|
|AU|HXX|Hay|Hay|NSW|---4----|AI|9601|||
|AU|HIG|Highbury|Highbury|QLD|---4----|AI|9912|||
|AU|HWO|Howlong|Howlong|NSW|--3-----|RL|0607||3559S 14637E|
|AU|ISI|Isisford|Isisford|QLD|---4----|AI|9601|||
|AU|KDS|Kamaran Downs|Kamaran Downs|QLD|---4----|AI|9912|||
|AU|KDA|Kendall|Kendall|NSW|-23-----|RL|0607||3136S 15244E|
|AU|KCS|Kings Creek Station|Kings Creek Station|NT|---4----|AI|9912|||
|AU|WKR|Kotara|Kotara|NSW|-----6--|RQ|0907||3257S 15141E|
|AU|LAM|Lamplough|Lamplough|VIC|--3-----|RL|0607||3708S 14331E|
|AU|LEH|Leichardt|Leichardt|VIC|--3-----|RL|1601||3641S 14404E|
|AU|LKA|Lockhart|Lockhart|NSW|-23-----|RL|0607||3513S 14643E|
|AU|VIL|Lyndhurst|Lyndhurst|VIC|--3-----|RL|0901||3803S 14515E|
|AU|MDP|Mandogalup|Mandogalup|WA|-----6--|RL|0901||3212S 11548E|
|AU|MLN|Marulan|Marulan|NSW|--3-----|RL|1501||3442S 15001E|
|AU|MT9|Melton|Melton|VIC|--3-----|RL|1301||3741S 14435E|
|AU|MLP|Mill Park|Mill Park|VIC|--3-----|RL|1207||3740S 14504E|
|AU|MDI|Molendinar|Molendinar|QLD|--3-----|RL|0701||2759S 15322E|
|AU|MWB|Morawa|Morawa|WA|---4----|AI|9912|||
|AU|MFL|Mount Full Stop|Mount Full Stop|QLD|---4----|AI|9912|||
|AU|DGE|Mudgee|Mudgee|NSW|---4----|AI|9601|||
|AU|ORD|Myrtleford|Myrtleford|VIC|--3-----|RL|1601||3633S 14644E|
|AU|NFR|New Farm|New Farm|QLD|--3-----|RL|1401||2728S 15302E|
|AU|RST|Normanhurst|Normanhurst|NSW|--3-----|RL|1601||3344S 15106E|
|AU|NLL|Nullagine|Nullagine|WA|---4----|AI|9601|||
|AU|OAG|Orange|Orange|NSW|---4----|AI|9912|||
|AU|PAL|Palmerston|Palmerston|NT|1-------|RL|1107||1228S 13050E|
|AU|PNL|Penola|Penola|SA|--3-----|RQ|0907||3723S 14049E|
|AU|PSM|Point Samson|Point Samson|WA|1-------|AC|9511|||
|AU|PBN|Port of Brisbane|Port of Brisbane|QLD|123--6--|RL|1301||2723S 15310E|
|AU|UEE|Queenstown|Queenstown|TAS|---4----|AI|9601|||
|AU|S4G|Research|Research|VIC|--3-----|RL|1601||3742S 14511E|
|AU|ROK|Rockhampton|Rockhampton|QLD|1--4----|AC|9511|||
|AU|RWL|Rowella|Rowella|TAS|--3-----|RL|1601||4112S 14654E|
|AU|SSF|Sassafras|Sassafras|VIC|--3-----|RQ|1007||3752S 14520E|
|AU|SRH|Shoreham|Shoreham|VIC|-----6--|RL|1201||3825S 14503E|
|AU|STR|South Trees|South Trees|QLD|123-----|RL|0607||2354S 15117E|
|AU|SQP|Starcke|Starcke|QLD|---4----|AI|9912|||
|AU|SHS|Surrey Hills|Surrey Hills|VIC|-----6--|RQ|1001||3749S 14506E|
|AU|TRO|Taree|Taree|NSW|---4----|AI|9601|||
|AU|THR|Thornleigh|Thornleigh|NSW|--3-----|RL|0901||3344S 15105E|
|AU|TOG|Tooronga|Tooronga|VIC|-----6--|RL|1601||3746S 14506E|
|AU|TBH|Tura Beach|Tura Beach|NSW|--3-----|RL|1601||3651S 14955E|
|AU|VAR|Varanus Island|Varanus Island|WA|1-------|AC|9511|||
|AU|WDB|Wallendbeen|Wallendbeen|NSW|-23-----|RL|0607||3432S 14810E|
|AU|QUK|Waterloo|Waterloo|NSW|--3-----|RL|1601||3102S 15143E|
|AU|6DF|West Hoxton|West Hoxton|NSW|--3-----|RL|1601||3355S 15051E|
|AU|WLI|Williams|Williams|WA|-23-----|RL|0607||3302S 11653E|
|AU|WNB|Withnell Bay|Withnell Bay|WA|1-3-----|RL|0307||2035S 11647E|
|AU|WGB|Woolloongabba|Woolloongabba|QLD|--3-----|RQ|0507||2729S 15302E|
|AU|YNN|Yandicoogina / Yandi Apt|Yandicoogina / Yandi Apt|WA|---4----|AI|0907||2125S 12010E|
|AU|YUE|Yuendumu|Yuendumu|NT|---4----|AI|9601|||
|AZ|NAJ|Naxcivan|Naxcivan|NX|--3--6--|RL|1907||3912N 04514E|
|BA|DBJ|Doboj|Doboj|BIH|--3-----|RL|0207||4407N 01806E|
|BA|MOD|Modrica|Modrica||-23-----|RL|0601||4457N 01817E|
|BA|UJV|Ugljevik|Ugljevik||--3-----|RQ|0901|||
|BD|CLA|Cumilla|Cumilla||---4----|AI|1807|||
|BD|ZYL|Sylhet|Sylhet||---4----|AI|9601|||
|BE|ADU|Anderlues|Anderlues|WHT|--3-----|RN|0307||5024N 00416E|
|BE|ANE|Assenede|Assenede|VOV|--3-----|RN|0307||5114N 00345E|
|BE|BND|Bande|Bande|WLX|--3-----|RL|0307||5010N 00525E|
|BE|BVD|Beervelde|Beervelde|VOV|--3-----|RL|0307||5105N 00353E|
|BE|BR3|Beselare|Beselare|VWV|--3-----|RL|1601||5051N 00301E|
|BE|BLT|Blaton|Blaton|WHT|1-3-----|RN|0307||5030N 00339E|
|BE|BRI|Bossi�re|Bossiere|WNA|--3-----|RN|0307||5031N 00441E|
|BE|OBC|Broechem|Broechem|VAN|--3-----|RN|0307||5111N 00436E|
|BE|CAD|Cerfontaine|Cerfontaine|WNA|-23-----|RL|0307||5010N 00425E|
|BE|CLM|Clermont|Clermont|WNA|--3-----|RN|0307||5016N 00419E|
|BE|DPE|De Pinte|De Pinte|VOV|123-----|RN|0307||5100N 00339E|
|BE|DON|Donk|Donk|VLI|--3-----|RL|0307||5056N 00507E|
|BE|EZS|Ellezelles|Ellezelles|WHT|--3-----|RN|0307||5044N 00341E|
|BE|EST|Estaimbourg|Estaimbourg|WAL|--3-----|RQ|1001||5041N 00318E|
|BE|FMG|Fl�malle-Grande|Flemalle-Grande|WLG|--3-----|RL|1801||5036N 00529E|
|BE|FLG|Frasnes-lez-Gosselies|Frasnes-lez-Gosselies|WHT|--3-----|RL|1607||5032N 00426E|
|BE|GVE|Gesves|Gesves|WNA|--3-----|RN|0307||5024N 00504E|
|BE|GLE|Grand-Leez|Grand-Leez|WNA|--3-----|RN|0307||5035N 00445E|
|BE|HLX|Halleux|Halleux|WLX|--3-----|RN|0307||5010N 00530E|
|BE|HRE|Havr�|Havre|WHT|1-3-----|RN|0307||5028N 00402E|
|BE|HEN|Herne|Herne|VBR|--3-----|RN|0307||5043N 00402E|
|BE|HOE|Hoeselt|Hoeselt|VLI|--3-----|RN|0307||5051N 00529E|
|BE|HYE|Houyet|Houyet|WNA|--3-----|RN|0307||5011N 00501E|
|BE|JHY|Jalhay|Jalhay|WLG|--3-----|RN|0307||5034N 00558E|
|BE|KMZ|Kemzeke|Kemzeke|VOV|--3-----|RL|0701||5112N 00404E|
|BE|KOO|Koolskamp|Koolskamp|VWV|--3-----|RN|0307||5100N 00312E|
|BE|LAN|Lanaken|Lanaken|VLI|1-3-----|RN|0307||5053N 00539E|
|BE|LSE|Leisele|Leisele|VWV|--3-----|RN|0307||5059N 00237E|
|BE|LGY|Ligney|Ligney|WLG|--3-----|RN|0307||5040N 00511E|
|BE|LPM|Loppem|Loppem|VWV|--3-----|RL|0307||5109N 00311E|
|BE|MAL|Malle|Malle|VAN|--3-----|RN|0307||5118N 00442E|
|BE|ECH|Mechelen|Mechelen|VAN|1-3-----|RN|0307|ZGP|5102N 00428E|
|BE|MLM|Merlemont|Merlemont|WNA|-----6--|RL|0901||5011N 00437E|
|BE|MND|Molenstede|Molenstede|VBR|--3-----|RN|0307||5100N 00501E|
|BE|MUS|Moustier|Moustier|WHT|--3-----|RN|0307||5039N 00336E|
|BE|NVL|Nevele|Nevele|VOV|1-3-----|RN|0307||5102N 00333E|
|BE|OKG|Okegem|Okegem|VOV|123-----|RL|0601||5051N 00403E|
|BE|OYE|Oreye|Oreye|WLG|--3-----|RN|0307||5044N 00522E|
|BE|PAS|Passendale|Passendale|VWV|--3-----|RN|0307||5054N 00301E|
|BE|PCL|Pont-�-Celles|Pont-a-Celles|WHT|1-3-----|RL|0307||5030N 00421E|
|BE|RBX|Rebaix|Rebaix|WHT|1-3-----|RN|0307||5039N 00347E|
|BE|RHA|Roesbrugge-Haringe|Roesbrugge-Haringe|VWV|1-3-----|RN|0307||5055N 00237E|
|BE|SAM|Saint-Amand|Saint-Amand|WHT|--3-----|RN|1101||5030N 00432E|
|BE|STN|Sautin|Sautin|WHT|--3-----|RN|0307||5010N 00414E|
|BE|SVI|Serville|Serville|WNA|--3-----|RN|0307||5015N 00446E|
|BE|SKU|Sint-Kruis|Sint-Kruis|VWV|--3-----|RN|1101||5112N 00315E|
|BE|SSB|Solre-sur-Sambre|Solre-sur-Sambre|WHT|123-----|RL|0601||5018N 00408E|
|BE|SPH|Sterpenich|Sterpenich|WLX|--3-----|RN|0307||4939N 00553E|
|BE|TTT|Testelt|Testelt|VBR|--3-----|RN|0307||5100N 00457E|
|BE|TLY|Tilly|Tilly|WBR|-23-----|RL|0701||5034N 00433E|
|BE|VLX|Vaulx|Vaulx|WHT|1-3-----|RL|0307||5004N 00422E|
|BE|VSH|Ville-sur-Haine|Ville-sur-Haine|WHT|1-3-----|RN|0307||5028N 00403E|
|BE|WRL|Waarloos|Waarloos|VAN|--3-----|RL|0607||5106N 00427E|
|BE|WOU|Waterland-Oudeman|Waterland-Oudeman|VOV|--3-----|RN|0307||5117N 00335E|
|BE|WME|Westmalle|Westmalle|VAN|--3-----|RN|0307||5118N 00441E|
|BE|WTO|Wintershoven|Wintershoven|VLI|--3-----|RN|0307||5051N 00524E|
|BE|ZIC|Zichem|Zichem|VBR|--3-----|RN|0307||5100N 00459E|
|BF|DIP|Diapaga|Diapaga||---4----|AI|9912|||
|BF|LIG|Yaramoko|Yaramoko|MOU|--3-----|RL|1501||1148N 00317W|
|BG|BRF|Botevgrad|Botevgrad||--3-----|RL|0001|||
|BG|DBR|Dobroslavtsi|Dobroslavtsi|23|--3-----|RL|1101||4249N 02317E|
|BG|GB4|Gorublyane|Gorublyane|23|-23-----|RL|1407||4238N 02324E|
|BG|ZHA|Kaynardzha|Kaynardzha|19|--3-----|RL|1607||4359N 02730E|
|BG|LES|Leskovets|Leskovets|06|--3-----|RL|1701||4342N 02401E|
|BG|MUC|Musachevo|Musachevo||--3-----|RL|0307||4206N 02550E|
|BG|PVN|Pleven|Pleven||---4----|AI|9912|||
|BG|SLU|Sevlievo|Sevlievo||--3-----|RL|0001|||
|BG|SRL|Sungurlare|Sungurlare|02|--3-----|RL|1601||4246N 02647E|
|BG|VAZ|Varna-Zapad|Varna-Zapad||1-------|QQ|8201|||
|BH|TOW|Hamad Town|Hamad Town||-----6--|RL|1107||2606N 05030E|
|BJ|AMV|Abomey-Calavi|Abomey-Calavi|AQ|--3-----|RL|1407||0627N 00221E|
|BN|LUM|Lumut|Lumut||1-------|QQ|8103|||
|BO|CRN|Caranavi|Caranavi|L|--3-----|AC|1901||1549S 06733W|
|BO|HIT|Hito Cajones|Hito Cajones|P|--3-----|RL|1901||2252S 06747W|
|BO|PAT|Patacamaya|Patacamaya|L|--3-----|AC|1901||1714S 06755W|
|BO|SLR|San Lorenzo|San Lorenzo|N|--3-----|RL|1807||1153S 06651W|
|BO|TOM|Tomina|Tomina|H|--3-----|RL|1807||1911S 06432W|
|BR|ADG|Abadia de Goi�s|Abadia de Goias|GO|--3-----|AA|2107||1645S 04926W|
|BR|DLN|Adel�ndia|Adelandia|GO|--3-----|AA|2107||1624S 05009W|
|BR|NIL|Aguanil|Aguanil|MG|--3-----|AA|2107||2056S 04523W|
|BR|ACT|Alc�ntara|Alcantara|MA|1-3-----|AA|2107||0224S 04425W|
|BR|AET|Alpercata|Alpercata|MG|--3-----|AA|2107||1859S 04159W|
|BR|APG|Alto Para�so de Goi�s|Alto Paraiso de Goias|GO|--34----|AA|2107||1408S 04731W|
|BR|AML|Amaralina|Amaralina|GO|--3-----|AA|2107||1355S 04917W|
|BR|AUD|Anauril�ndia|Anaurilandia|MS|--3-----|AA|2107||2210S 05243W|
|BR|ANT|Antonina|Antonina|PR|1-3-----|AA|2107||2525S 04842W|
|BR|AUE|Apuiar�s|Apuiares|CE|--3-----|AA|2107||0356S 03925W|
|BR|ARG|Araguari|Araguari|MG|-23-----|AA|2107||1838S 04811W|
|BR|AAU|Araruna|Araruna|PR|--3-----|AA|2107||2355S 05229W|
|BR|ARH|Ariranha|Ariranha|SP|--3-----|AA|2107||2111S 04847W|
|BR|ADT|Astolfo Dutra|Astolfo Dutra|MG|--3-----|AA|2107||2118S 04251W|
|BR|BCE|Bacabeira|Bacabeira|MA|123-----|AA|2107||0259S 04418W|
|BR|BDX|Bandeira|Bandeira|MG|--3-----|AA|2107||1553S 04033W|
|BR|BSR|Barra de Santa Rosa|Barra de Santa Rosa|PB|--3-----|AA|2107||0643S 03603W|
|BR|BIP|Barreiras do Piau�|Barreiras do Piaui|PI|--3-----|AA|2107||0955S 04528W|
|BR|BLM|Bela Vista de Minas|Bela Vista de Minas|MG|-23-----|AA|2107||1949S 04305W|
|BR|BGV|Bento Gon�alves|Bento Goncalves|RS|--3-----|AA|2107||2910S 05130W|
|BR|BAV|Boa Nova|Boa Nova|BA|--3-----|AA|2107||1421S 04012W|
|BR|BOJ|Bom Jardim|Bom Jardim|RJ|--3-----|AA|2107||2209S 04225W|
|BR|BWC|Bom Sucesso|Bom Sucesso|PB|--3-----|AA|2107||0626S 03755W|
|BR|BHS|Botelhos|Botelhos|MG|--3-----|AA|2107||2139S 04623W|
|BR|BNR|Brejinho de Nazar�|Brejinho de Nazare|TO|--3-----|AA|2107||1100S 04833W|
|BR|BUR|Buri|Buri|SP|--3-----|AA|2107||2347S 04835W|
|BR|CBV|Cabo Verde|Cabo Verde|MG|--3-----|AA|2107||2128S 04623W|
|BR|CCB|Cacimbinhas|Cacimbinhas|AL|--3-----|AA|2107||0924S 03659W|
|BR|CJA|Cajari|Cajari|MA|--3-----|AA|2107||0319S 04500W|
|BR|CMS|Cambar� do Sul|Cambara do Sul|RS|--3-----|AA|2107||2902S 05008W|
|BR|CGG|Campo Alegre de Goi�s|Campo Alegre de Goias|GO|--3-----|AA|2107||1738S 04746W|
|BR|KBG|Campos Borges|Campos Borges|RS|--3-----|AA|2107||2853S 05259W|
|BR|CMN|C�ndido Mendes|Candido Mendes|MA|--3-----|AA|2107||0127S 04544W|
|BR|CCN|Cap�o da Canoa|Capao da Canoa|RS|--3-----|AA|2107||2945S 05001W|
|BR|CEI|Capoeiras|Capoeiras|PE|--3-----|AA|2107||0844S 03637W|
|BR|CNH|Carinhanha|Carinhanha|BA|--3-----|AA|2107||1418S 04345W|
|BR|CIN|Carpina|Carpina|PE|--3-----|AA|2107||0750S 03515W|
|BR|CUE|Cataguases|Cataguases|MG|--3-----|AA|2107||2123S 04241W|
|BR|KDR|Cedro|Cedro|PE|--3-----|AA|2107||0743S 03914W|
|BR|XAL|Chal�|Chale|MG|--3-----|AA|2107||2002S 04141W|
|BR|CTF|Cidade de Caraguatatuba FPSO|Cidade de Caraguatatuba FPSO|SP|------7-|AA|2107||2531S 04327W|
|BR|CCZ|Cocos|Cocos|BA|--3-----|AA|2107||1410S 04432W|
|BR|KAP|Concei��o da Aparecida|Conceicao da Aparecida|MG|--3-----|AA|2107||2105S 04612W|
|BR|CNF|Confins Apt / Belo Horizonte|Confins Apt / Belo Horizonte|MG|---4----|AA|2107||1937S 04358W|Cf BR BHE| Cf BR PLU| Cf BR KFI
|BR|COZ|Coremas|Coremas|PB|--3-----|AA|2107||0701S 03756W|
|BR|CNT|Corrente|Corrente|PI|--3-----|AA|2107||1026S 04509W|
|BR|CIZ|Cris�polis|Crisopolis|BA|--3-----|AA|2107||1131S 03809W|
|BR|CZS|Cruzeiro do Sul|Cruzeiro do Sul|AC|1-34----|AA|2207||0737S 07240W|Inland port
|BR|CVP|Curral Novo do Piau�|Curral Novo do Piaui|PI|--3-----|AA|2107||0749S 04054W|
|BR|DEO|Desterro|Desterro|PB|--3-----|AA|2107||0717S 03705W|
|BR|DSS|Divis�polis|Divisopolis|MG|--3-----|AA|2107||1543S 04100W|
|BR|DDC|Dores de Campos|Dores de Campos|MG|--3-----|AA|2107||2106S 04401W|
|BR|ERN|Eirunep�|Eirunepe|AM|1-34----|AA|2207||0640S 06951W|Inland port
|BR|ETS|Entre Rios do Sul|Entre Rios do Sul|RS|--3-----|AA|2107||2731S 05244W|
|BR|ESF|Esp�rito Santo FPSO|Espirito Santo FPSO|RJ|------7-|AA|2107||2112S 03944W|
|BR|FMX|Fama|Fama|MG|--3-----|AA|2107||2124S 04549W|
|BR|FEX|F�nix|Fenix|PR|--3-----|AA|2107||2355S 05159W|
|BR|FPU|Flores do Piau�|Flores do Piaui|PI|--3-----|AA|2107||0747S 04255W|
|BR|FMS|Fortaleza de Minas|Fortaleza de Minas|MG|--3-----|AA|2107||2050S 04642W|
|BR|FRR|Frei Rog�rio|Frei Rogerio|SC|--3-----|AA|2107||2710S 05048W|
|BR|GVO|Gavi�o|Gaviao|BA|--3-----|AA|2107||1128S 03947W|
|BR|GYN|Goi�nia|Goiania|GO|-234----|AA|2107||1640S 04915W|
|BR|GDL|Gramado dos Loureiros|Gramado dos Loureiros|RS|--3-----|AA|2107||2726S 05255W|
|BR|GPE|Guap�|Guape|MG|--3-----|AA|2107||2045S 04555W|
|BR|WAA|Guarar�|Guarara|MG|--3-----|AA|2107||2143S 04302W|
|BR|HEA|Heliodora|Heliodora|MG|--3-----|AA|2107||2203S 04532W|
|BR|IBM|Ibema|Ibema|PR|--3-----|AA|2107||2506S 05301W|
|BR|IRU|Ibirub�|Ibiruba|RS|--34----|AA|2107||2837S 05305W|
|BR|IGT|Igaratinga|Igaratinga|MG|--3-----|AA|2107||1957S 04442W|
|BR|YMI|Imbuia|Imbuia|SC|--3-----|AA|2107||2729S 04925W|
|BR|ICE|Inoc�ncia|Inocencia|MS|--3-----|AA|2107||1943S 05155W|
|BR|IPU|Ipu|Ipu|CE|--3-----|AA|2107||0418S 04043W|
|BR|IRP|Irupi|Irupi|ES|--3-----|AA|2107||2020S 04138W|
|BR|SPB|Itagua� Pt = Sepetiba Pt|Itaguai Pt = Sepetiba Pt|RJ|12------|AA|2107||2252S 04346W|cf BR SEPcf BR SEPCf BR IGI
|BR|YMB|Itamb�|Itambe|BA|--3-----|AA|2107||1514S 04037W|
|BR|YTV|Itapeva|Itapeva|MG|--3-----|AA|2107||2246S 04613W|
|BR|IQA|Itaquitinga|Itaquitinga|PE|--3-----|AA|2107||0739S 03506W|
